,goal_number,match_api_id,comment,elapsed,event_incident_typefk,goal_type,goal_id,n,player1,player2,sortorder,stats,subtype,team,type,elapsed_plus,del,coordinates
3975,1,1025886,n,22,393,n,2038603,205,8922,23268,0,,shot,8668,goal,,,
3976,2,1025886,n,39,393,n,2038877,213,46354,35493,1,,shot,9850,goal,,,
3977,3,1025886,n,61,393,n,2039391,242,8922,36012,1,,shot,8668,goal,,,
3978,4,1025886,n,77,393,n,2039596,256,24698,23499,2,,shot,9850,goal,,,
3979,1,1025890,n,26,407,n,2040282,229,32148,24676,1,,distance,8602,goal,,,
3980,2,1025890,n,37,411,n,2040389,238,38899,40695,3,,volley,10194,goal,,,
3981,3,1025890,n,61,406,n,2040820,276,30830,34601,2,,header,10194,goal,,,
3982,1,1025898,n,5,393,n,2036297,182,46700,26160,0,,shot,10261,goal,,,
3983,2,1025898,n,69,393,n,2036627,216,46700,26160,0,,shot,10261,goal,,,
3984,1,1025902,o,7,115,o,2038396,254,25667,,3,,,8655,goal,,,
3985,2,1025902,n,69,721,n,2039550,331,26494,23257,4,,tap_in,8659,goal,,,
3986,3,1025902,n,85,406,n,2039746,343,23787,32734,2,,header,8659,goal,,,
3987,1,1025915,n,32,393,n,2048211,222,184360,24213,1,,shot,10252,goal,,,
3988,2,1025915,n,72,406,n,2048538,258,38899,34601,0,,header,10194,goal,,,
3989,1,1025919,n,13,721,n,2051091,234,33632,33781,4,,tap_in,8650,goal,,,
3990,2,1025919,n,16,393,n,2051109,236,33632,47382,0,,shot,8650,goal,,,
3991,3,1025919,npm,27,159,npm,2051243,8,24160,,0,,saved,8655,goal,,,
3992,4,1025919,n,36,406,n,2051355,256,24160,30342,2,,header,8655,goal,,,
3993,5,1025919,p,61,20,p,2051722,294,24160,,2,,,8655,goal,,,
3994,6,1025919,n,90,406,n,2051978,342,47382,25984,6,,header,8650,goal,1,,
3995,1,1025923,n,52,411,n,2047442,214,158962,24006,1,,volley,8668,goal,,,
3996,2,1025923,n,75,393,n,2047693,230,36012,158962,0,,shot,8668,goal,,,
3997,3,1025923,n,76,393,n,2047708,234,24006,158962,3,,shot,8668,goal,,,
3998,4,1025923,n,81,414,n,2047765,240,25666,36012,2,,deflected,8668,goal,,,
3999,1,1025927,p,45,20,p,2048877,188,30631,,0,,,8455,goal,,,
4000,2,1025927,n,82,406,n,2049015,215,30956,34574,3,,header,9879,goal,,,
4001,1,1025929,n,6,407,n,2053821,139,37412,26181,0,,distance,8456,goal,,,
4002,2,1025929,n,54,393,n,2054791,166,37412,26181,1,,shot,8456,goal,,,
4003,3,1025929,n,61,393,n,2054907,180,38817,37412,5,,shot,8456,goal,,,
4004,4,1025929,n,64,393,n,2054953,181,37459,37412,3,,shot,8456,goal,,,
4005,1,1025931,n,73,393,n,2047670,277,26163,26160,3,,shot,10261,goal,,,
4006,2,1025931,n,83,393,n,2047782,285,46700,24225,1,,shot,10261,goal,,,
4007,1,1025935,n,45,393,n,2054628,227,24205,47394,3,,shot,10172,goal,1,,
4008,2,1025935,n,55,393,n,2055009,232,32084,24740,0,,shot,10172,goal,,,
4009,3,1025935,n,67,407,n,2055198,249,23163,47394,2,,distance,10172,goal,,,
4010,1,1025938,n,13,393,n,2046854,239,47194,23499,1,,shot,9850,goal,,,
4011,2,1025938,n,33,393,n,2047105,257,30348,115681,1,,shot,8586,goal,,,
4012,3,1025938,n,66,393,n,2047603,326,96456,24903,0,,shot,9850,goal,,,
4013,1,1025942,dg,29,299,dg,2054188,62,106228,,3,,header,8528,goal,,,
4014,2,1025942,n,50,393,n,2054756,226,41061,38254,1,,shot,8528,goal,,,
4015,1,1025946,p,9,20,p,2053874,169,30843,,0,,,9825,goal,,,
4016,2,1025946,n,11,393,n,2053900,199,31013,30843,4,,shot,9825,goal,,,
4017,3,1025946,n,69,393,n,2055031,188,24800,23678,0,,shot,9825,goal,,,
4018,1,1025952,n,7,393,n,2065239,233,49825,118929,2,,shot,8528,goal,,,
4019,2,1025952,n,8,393,n,2065242,220,118929,28901,2,,shot,8528,goal,,,
4020,3,1025952,n,21,406,n,2065282,248,26005,31435,5,,header,9825,goal,,,
4021,1,1025958,n,37,393,n,2110901,192,31097,30840,3,,shot,8586,goal,,,
4022,2,1025958,n,51,411,n,2111128,204,24780,41175,1,,volley,8559,goal,,,
4023,3,1025958,n,60,411,n,2111226,236,30840,31921,2,,volley,8586,goal,,,
4024,4,1025958,n,62,721,n,2111252,171,30960,30895,0,,tap_in,8586,goal,,,
4025,5,1025958,n,69,393,n,2111337,195,30960,31921,2,,shot,8586,goal,,,
4026,1,1025961,n,19,393,n,2110524,168,46700,150466,1,,shot,10261,goal,,,
4027,2,1025961,n,90,411,n,2111417,208,46700,24225,1,,volley,10261,goal,4,,
4028,1,1025964,o,5,115,o,2107951,194,22764,,2,,,8650,goal,,,
4029,1,1025969,p,7,20,p,2062628,248,30829,,1,,,10260,goal,,,
4030,2,1025969,n,44,721,n,2062957,192,113836,32569,0,,tap_in,10260,goal,,,
4031,3,1025969,n,74,393,n,2063372,243,30829,35327,1,,shot,10260,goal,,,
4032,4,1025969,n,90,393,n,2063559,222,40945,43248,1,,shot,10260,goal,3,,
4033,1,1025975,n,18,407,n,2058663,240,38817,37459,2,,distance,8456,goal,,,
4034,2,1025975,n,27,393,n,2058697,247,37412,38817,3,,shot,8456,goal,,,
4035,3,1025975,n,52,6,n,2058821,248,23629,,3,,volley,9850,goal,,,
4036,4,1025975,n,73,406,n,2058923,293,38817,36615,1,,header,8456,goal,,,
4037,5,1025975,n,75,393,n,2058927,295,37412,36615,4,,shot,8456,goal,,,
4038,6,1025975,n,80,71,n,2058950,264,38817,,4,,,8456,goal,,,
4039,7,1025975,n,90,411,n,2059002,278,24159,31291,2,,volley,8456,goal,3,,
4040,1,1025978,o,44,115,o,2108215,299,30830,,5,,,10194,goal,,,
4041,2,1025978,n,69,414,n,2108418,348,31953,23818,2,,deflected,10194,goal,,,
4042,1,1025987,n,37,407,n,2059424,214,157729,47558,3,,distance,10003,goal,,,
4043,2,1025987,n,43,393,n,2059495,221,23305,38759,4,,shot,10003,goal,,,
4044,3,1025987,o,64,115,o,2059826,242,23837,,0,,,8655,goal,,,
4045,1,1025993,n,22,407,n,2059310,248,32734,25550,1,,distance,8659,goal,,,
4046,1,1026009,n,41,411,n,2073435,290,113631,23916,10,,volley,8655,goal,,,
4047,2,1026009,n,49,407,n,2073686,301,113465,119273,4,,distance,8655,goal,,,
4048,1,1026016,n,6,407,n,2072929,213,23991,23882,0,,distance,10003,goal,,,
4049,2,1026016,n,14,393,n,2073069,219,38856,33633,1,,shot,8559,goal,,,
4050,1,1026023,n,57,39,n,2073794,234,35472,,1,,distance,8528,goal,,,
4051,2,1026023,n,58,407,n,2073811,239,41244,30956,0,,distance,9879,goal,,,
4052,3,1026023,n,89,406,n,2074265,269,30890,24130,2,,header,9879,goal,,,
4053,1,1026027,n,75,393,n,2080463,312,25550,71502,3,,shot,8659,goal,,,
4054,1,1026031,n,34,406,n,2077680,300,8922,24023,0,,header,8668,goal,,,
4055,2,1026031,n,41,406,n,2077753,299,30829,40945,2,,header,10260,goal,,,
4056,3,1026031,n,57,393,n,2078040,322,113836,40945,2,,shot,10260,goal,,,
4057,4,1026031,n,61,393,n,2078068,330,40945,113836,1,,shot,10260,goal,,,
4058,5,1026031,n,67,411,n,2078114,325,39618,24023,1,,volley,8668,goal,,,
4059,6,1026031,n,69,393,n,2078129,339,30829,113836,1,,shot,10260,goal,,,
4060,7,1026031,n,83,80,n,2078247,345,8922,,2,,shot,8668,goal,,,
4061,8,1026031,n,85,721,n,2078256,346,36012,39618,1,,tap_in,8668,goal,,,
4062,1,1026042,n,14,721,n,2073062,169,26160,46700,2,,tap_in,10261,goal,,,
4063,2,1026042,n,18,393,n,2073115,179,46700,26160,1,,shot,10261,goal,,,
4064,3,1026042,dg,53,649,n,2073733,199,46700,,1,,tap_in,10261,goal,,,
4065,4,1026042,n,57,39,n,2073792,207,26160,,0,,distance,10261,goal,,,
4066,1,1026044,n,24,130,n,2074953,205,47394,,0,,direct_freekick,10172,goal,,,
4067,1,1026048,n,27,393,n,2079701,222,37412,31291,0,,shot,8456,goal,,,
4068,2,1026048,n,74,393,n,2080464,289,26181,38817,111,,shot,8456,goal,,,
4069,1,1026055,n,1,39,n,2100270,170,51553,,1,,distance,8455,goal,,,
4070,2,1026055,n,13,406,n,2100393,179,30627,41468,2,,header,8455,goal,,,
4071,3,1026055,n,19,393,n,2100431,180,30853,31906,2,,shot,8455,goal,,,
4072,4,1026055,n,25,80,n,2100461,206,30853,,2,,shot,8455,goal,,,
4073,5,1026055,n,64,393,n,2101043,226,30853,41468,2,,shot,8455,goal,,,
4074,6,1026055,n,80,393,n,2101181,240,30679,79574,1,,shot,8455,goal,,,
4075,7,1026055,n,84,393,n,2101229,264,33418,24209,1,,shot,10172,goal,,,
4076,1,1026060,p,7,20,p,2095319,145,8922,,1,,,8668,goal,,,
4077,2,1026060,n,16,406,n,2095488,154,39618,36012,3,,header,8668,goal,,,
4078,3,1026060,n,40,393,n,2095900,173,8922,36012,0,,shot,8668,goal,,,
4079,4,1026060,n,61,393,n,2096546,181,30876,36012,1,,shot,8668,goal,,,
4080,1,1026062,n,45,406,n,2105363,323,39027,37459,4,,header,8456,goal,1,,
4081,1,1026067,n,24,393,n,2097856,165,40636,30618,0,,shot,8650,goal,,,
4082,2,1026067,n,28,80,n,2097880,166,40636,,3,,shot,8650,goal,,,
4083,3,1026067,n,82,407,n,2098483,217,40636,25984,3,,distance,8650,goal,,,
4084,1,1026072,n,10,406,n,2095344,175,30830,24773,1,,header,10194,goal,,,
4085,2,1026072,n,15,393,n,2095444,181,30843,31435,1,,shot,9825,goal,,,
4086,1,1026075,n,25,411,n,2095651,262,23934,33633,6,,volley,8559,goal,,,
4087,2,1026075,n,36,393,n,2095826,261,36410,160243,4,,shot,8472,goal,,,
4088,3,1026075,n,43,72,,2095957,97,,,0,,,,goal,,1,
4089,4,1026075,n,55,130,n,2096406,293,175947,,2,,direct_freekick,8472,goal,,,
4090,5,1026075,n,70,406,n,2096725,306,23934,34430,5,,header,8559,goal,,,
4091,1,1026081,n,1,406,n,2095219,220,37645,23991,3,,header,10003,goal,,,
4092,2,1026081,n,4,414,n,2095269,225,47558,157729,1,,deflected,10003,goal,,,
4093,3,1026081,n,15,406,n,2095475,223,23305,37645,2,,header,10003,goal,,,
4094,4,1026081,n,28,406,n,2095694,236,32627,23291,3,,header,8602,goal,,,
4095,5,1026081,n,31,393,n,2095748,242,38759,23305,3,,shot,10003,goal,,,
4096,6,1026081,n,33,393,n,2095785,245,23538,23291,4,,shot,8602,goal,,,
4097,7,1026081,n,54,393,n,2096419,278,24676,32148,2,,shot,8602,goal,,,
4098,8,1026081,n,69,721,n,2096735,292,23538,32627,1,,tap_in,8602,goal,,,
4099,1,1026084,n,22,391,n,2101958,202,30840,31921,2,,loose_ball,8586,goal,,,
4100,2,1026084,n,75,130,n,2102544,250,159833,,0,,direct_freekick,8586,goal,,,
4101,1,1026093,n,13,406,n,2095431,202,106228,35472,3,,header,8528,goal,,,
4102,2,1026093,n,15,393,n,2095462,187,106228,38254,2,,shot,8528,goal,,,
4103,3,1026093,n,36,393,n,2095830,209,41061,49825,1,,shot,8528,goal,,,
4104,4,1026093,n,45,407,n,2096061,224,49825,41061,0,,distance,8528,goal,3,,
4105,1,1026108,n,2,393,n,2116030,228,24800,31435,1,,shot,9825,goal,,,
4106,2,1026108,n,12,411,n,2116097,243,35493,111800,5,,volley,9850,goal,,,
4107,3,1026108,n,27,414,n,2116174,258,24698,35493,1,,deflected,9850,goal,,,
4108,4,1026108,n,72,393,n,2116630,307,30843,23678,2,,shot,9825,goal,,,
4109,5,1026108,n,80,80,n,2116681,317,30843,,0,,shot,9825,goal,,,
4110,6,1026108,n,85,393,n,2116723,323,37166,46354,0,,shot,9850,goal,,,
4111,1,1026112,n,35,414,n,2121645,298,161414,29581,0,,deflected,10252,goal,,,
4112,2,1026112,p,61,20,p,2122319,317,30960,,2,,,8586,goal,,,
4113,1,1026118,n,87,406,n,2127230,281,11736,38254,1,,header,8528,goal,,,
4114,1,1026122,p,24,20,p,2121481,286,33633,,0,,,8559,goal,,,
4115,2,1026122,o,72,115,o,2122505,352,22964,,12,,,8659,goal,,,
4116,3,1026122,n,75,393,n,2122578,356,23257,23293,0,,shot,8659,goal,,,
4117,4,1026122,n,90,393,n,2122870,365,24171,40553,2,,shot,8659,goal,,,
4118,1,1026125,n,12,130,n,2121275,146,30956,,0,,direct_freekick,9879,goal,,,
4119,2,1026125,n,34,407,n,2121636,159,36786,242308,3,,distance,8472,goal,,,
4120,3,1026125,n,35,393,n,2121653,156,41008,24130,3,,shot,9879,goal,,,
4121,1,1026131,o,19,115,o,2129797,256,30675,,1,,,8455,goal,,,
4122,2,1026131,n,25,393,n,2129822,263,156008,33632,3,,shot,8650,goal,,,
4123,3,1026131,n,28,406,n,2129834,267,25984,47382,5,,header,8650,goal,,,
4124,4,1026131,npm,45,23,npm,2129919,119,30892,,0,,post,8650,goal,3,,
4125,5,1026131,n,50,721,n,2129954,303,79574,30679,2,,tap_in,8455,goal,,,
4126,6,1026131,n,61,39,n,2129991,309,127130,,1,,distance,8650,goal,,,
4127,1,1026135,n,28,721,n,2123234,291,30373,34944,3,,tap_in,10260,goal,,,
4128,2,1026135,n,41,393,n,2123354,307,23354,30829,2,,shot,10260,goal,,,
4129,1,1026141,n,70,407,n,2121932,235,36615,37412,1,,distance,8456,goal,,,
4130,2,1026141,n,89,393,n,2122260,259,36615,31291,2,,shot,8456,goal,,,
